business_name,address,city,postal_code,lat,lon,matched_address
3 UP BURGERS,532 SAN BENITO ST UNIT 7,LOS ANGELES,90033,34.05087593817,-118.213378363668,"532 SAN BENITO ST, LOS ANGELES, CA, 90033"
ABSOLUTE SWEETNESS CAFE,L716 CARMELITA PL,MONTEBELLO,90640,34.001280854543,-118.116748872372,"716 CARMELITA PL, MONTEBELLO, CA, 90640"
ADA DELICIOSA COMIDA GUAT,18646 BRYANT ST,NORTHRIDGE,91324,34.227270845963,-118.539300930429,"18646 BRYANT ST, NORTHRIDGE, CA, 91324"
ALEJANDRA'S COCINA,12512 PELLISSIER RD,WHITTIER,90601,34.033594903201,-118.030571869099,"12512 PELLISSIER RD, WHITTIER, CA, 90601"
ALENA'S LAB KITCHEN,1647 W PACIFIC COAST HWY 87,WILMINGTON,90744,33.791217775758,-118.243373249899,"1647 PACIFIC COAST HWY, WILMINGTON, CA, 90744"
ALLEN'S BALIWAG SPECIAL CHI,4924 LINCOLN AVE,LOS ANGELES,90042,34.120838283848,-118.208715002373,"4924 LINCOLN AVE, LOS ANGELES, CA, 90042"
ALMUERZO CASERO,10983 NOBLE AVE,MISSION HILLS,91345,34.268897959525,-118.459717177728,"10983 NOBLE AVE, MISSION HILLS, CA, 91345"
AMBER KITCHEN,201 N GRANADA AVE,ALHAMBRA,91801,34.101484190247,-118.119272822168,"201 N GRANADA AVE, ALHAMBRA, CA, 91801"
ANDRES S FERNANDEZ LLC,30544 CANNES PL,CASTAIC,91384,34.474016436533,-118.645059320526,"30544 CANNES PL, CASTAIC, CA, 91384"
ANGEL CITY DUMPLING CO.,5933 KENTLAND AVE,WOODLAND HILLS,91367,34.17832067053,-118.617910496729,"5933 KENTLAND AVE, WOODLAND HILLS, CA, 91367"
ANGRY BULL BBQ,4430 MARY ELLEN AVE,SHERMAN OAKS,91423,34.150936135326,-118.419160041435,"4430 MARY ELLEN AVE, SHERMAN OAKS, CA, 91423"
ANITA BAKERY,66 E MONTECITO AVE,SIERRA MADRE,91024,34.163057731882,-118.051212013724,"66 E MONTECITO AVE, SIERRA MADRE, CA, 91024"
ANTOJITOS M.X. Y MAS,42942 19TH ST W,LANCASTER,93534,34.663270490989,-118.164231012288,"42942 19TH ST W, LANCASTER, CA, 93534"
ARUSUVAI INDIAN CUISINE,363 WHITING ST,EL SEGUNDO,90245,33.920092235386,-118.420694461482,"363 WHITING ST, EL SEGUNDO, CA, 90245"
ASADOS TO GO,13665 POLK ST,POLK,91342,34.324140842632,-118.43121764934,"13665 POLK ST, SYLMAR, CA, 91342"
BAILEYS N' MORE,6637 SPRINGPARK AVE APT 7,LOS ANGELES,90056,33.979991291656,-118.375530621112,"6637 S SPRINGPARK AVE, LOS ANGELES, CA, 90056"
BAKE N' BLOOM,2919 GLADSTONE ST,POMONA,91767,34.099726087341,-117.749772247381,"2919 GLADSTONE ST, POMONA, CA, 91767"
BAOBAO BREAD,249 S PINE ST APT A,SAN GABRIEL,91776,34.10032604438,-118.092284828737,"249 S PINE ST, SAN GABRIEL, CA, 91776"
BARRIO BITES LLC,11000 FELLOWS AVE,PACOIMA,91331,34.269447913502,-118.404689008876,"11000 FELLOWS AVE, PACOIMA, CA, 91331"
BAYLEI'S COMFORT KITCHEN,1000 S GRAND AVE 644,LOS ANGELES,90015,34.042909735297,-118.260610262174,"1000 S GRAND AVE, LOS ANGELES, CA, 90015"
BENDER'S EAT WELL,524 W 2ND ST,SAN PEDRO,90731,33.742440822561,-118.288461454294,"524 W 2ND ST, SAN PEDRO, CA, 90731"
BIG MARKET LAMB SOUP,18703 BARROSO ST,ROWLAND HEIGHTS,91748,33.975739998652,-117.897042878358,"18703 BARROSO ST, ROWLAND HEIGHTS, CA, 91748"
BODEGACAT LA,510 S SPRING ST APT 1013,LOS ANGELES,90013,34.047173994348,-118.24973968596,"510 S SPRING ST, LOS ANGELES, CA, 90013"
BOND APPETITO,1417 N VISTA ST # 313,LOS ANGELES,90046,34.096504034827,-118.351806208148,"1417 N VISTA ST, LOS ANGELES, CA, 90046"
